,sessionId,timestamp,date,group,day,level,PlayerX,PlayerY
62,9l3duazds9mawsglu0sc,2022-01-11 17:07:50.510,2022-11-01 19:07:50.000,3,1,1.0,1871.0,1372.0
63,ojbl7oyg3h52gyuf0r64,2022-01-11 17:07:50.682,2022-11-01 18:07:50.000,1,1,1.0,2908.0,3662.0
64,9l3duazds9mawsglu0sc,2022-01-11 17:07:51.909,2022-11-01 19:07:51.000,3,1,1.0,2059.0,1372.0
65,9l3duazds9mawsglu0sc,2022-01-11 17:07:52.694,2022-11-01 19:07:52.000,3,1,1.0,2097.0,1415.0
66,ojbl7oyg3h52gyuf0r64,2022-01-11 17:07:54.837,2022-11-01 18:07:54.000,1,1,1.0,3220.0,3600.0
67,9l3duazds9mawsglu0sc,2022-01-11 17:07:57.238,2022-11-01 19:07:57.000,3,1,1.0,2342.0,1545.0
68,9l3duazds9mawsglu0sc,2022-01-11 17:07:58.035,2022-11-01 19:07:58.000,3,1,1.0,2342.0,1631.0
69,9l3duazds9mawsglu0sc,2022-01-11 17:07:59.953,2022-11-01 19:07:59.000,3,1,1.0,2342.0,1723.0
70,9l3duazds9mawsglu0sc,2022-01-11 17:08:02.118,2022-11-01 19:08:02.000,3,1,1.0,2510.0,1723.0
71,9l3duazds9mawsglu0sc,2022-01-11 17:08:05.165,2022-11-01 19:08:05.000,3,1,1.0,2793.0,1723.0
72,g0r5srmg9us2bch4lq0z,2022-01-11 17:08:05.327,2022-11-01 11:08:05.000,2,1,1.0,3734.0,2635.0
73,g0r5srmg9us2bch4lq0z,2022-01-11 17:08:05.483,2022-11-01 11:08:05.000,2,1,1.0,3734.0,2635.0
74,g0r5srmg9us2bch4lq0z,2022-01-11 17:08:05.631,2022-11-01 11:08:05.000,2,1,1.0,3734.0,2635.0
75,g0r5srmg9us2bch4lq0z,2022-01-11 17:08:05.762,2022-11-01 11:08:05.000,2,1,1.0,3734.0,2635.0
76,g0r5srmg9us2bch4lq0z,2022-01-11 17:08:05.894,2022-11-01 11:08:05.000,2,1,1.0,3734.0,2635.0
77,g0r5srmg9us2bch4lq0z,2022-01-11 17:08:06.012,2022-11-01 11:08:06.000,2,1,1.0,3734.0,2635.0
78,g0r5srmg9us2bch4lq0z,2022-01-11 17:08:06.136,2022-11-01 11:08:06.000,2,1,1.0,3734.0,2635.0
79,g0r5srmg9us2bch4lq0z,2022-01-11 17:08:06.261,2022-11-01 11:08:06.000,2,1,1.0,3734.0,2635.0
80,mwb5lwv8ugtooaeu65dx,2022-01-11 17:08:11.736,2022-11-01 11:08:11.000,2,2,3.0,1205.0,2120.0
81,9l3duazds9mawsglu0sc,2022-01-11 17:08:15.064,2022-11-01 19:08:15.000,3,1,1.0,3484.0,2063.0
82,9l3duazds9mawsglu0sc,2022-01-11 17:08:15.268,2022-11-01 19:08:15.000,3,1,1.0,3484.0,2063.0
83,9l3duazds9mawsglu0sc,2022-01-11 17:08:15.589,2022-11-01 19:08:15.000,3,1,1.0,3484.0,2063.0
84,9l3duazds9mawsglu0sc,2022-01-11 17:08:15.825,2022-11-01 19:08:15.000,3,1,1.0,3484.0,2063.0
85,9l3duazds9mawsglu0sc,2022-01-11 17:08:16.005,2022-11-01 19:08:16.000,3,1,1.0,3484.0,2063.0
86,9l3duazds9mawsglu0sc,2022-01-11 17:08:16.210,2022-11-01 19:08:16.000,3,1,1.0,3484.0,2063.0
87,9l3duazds9mawsglu0sc,2022-01-11 17:08:16.401,2022-11-01 19:08:16.000,3,1,1.0,3484.0,2063.0
88,9l3duazds9mawsglu0sc,2022-01-11 17:08:16.597,2022-11-01 19:08:16.000,3,1,1.0,3484.0,2063.0
89,9l3duazds9mawsglu0sc,2022-01-11 17:08:16.774,2022-11-01 19:08:16.000,3,1,1.0,3484.0,2063.0
90,9l3duazds9mawsglu0sc,2022-01-11 17:08:16.949,2022-11-01 19:08:16.000,3,1,1.0,3484.0,2063.0
91,mwb5lwv8ugtooaeu65dx,2022-01-11 17:08:31.505,2022-11-01 11:08:31.000,2,2,3.0,2000.0,3735.0
92,mwb5lwv8ugtooaeu65dx,2022-01-11 17:08:50.852,2022-11-01 11:08:50.000,2,2,3.0,3578.0,2851.0
93,rw4vjanwlmo422awk874,2022-01-11 17:08:58.778,2022-11-01 18:08:58.000,2,2,3.0,1481.0,1154.0
94,rw4vjanwlmo422awk874,2022-01-11 17:08:59.377,2022-11-01 18:08:59.000,2,2,3.0,1481.0,1154.0
95,mwb5lwv8ugtooaeu65dx,2022-01-11 17:09:08.992,2022-11-01 11:09:08.000,2,2,2.0,2171.0,3721.0
96,ojbl7oyg3h52gyuf0r64,2022-01-11 17:09:20.208,2022-11-01 18:09:20.000,1,2,3.0,2884.0,800.0
97,g0r5srmg9us2bch4lq0z,2022-01-11 17:09:20.079,2022-11-01 11:09:20.000,2,2,3.0,1264.0,2428.0
98,g0r5srmg9us2bch4lq0z,2022-01-11 17:09:20.227,2022-11-01 11:09:20.000,2,2,3.0,1264.0,2428.0
99,g0r5srmg9us2bch4lq0z,2022-01-11 17:09:20.345,2022-11-01 11:09:20.000,2,2,3.0,1264.0,2428.0
100,mwb5lwv8ugtooaeu65dx,2022-01-11 17:09:23.895,2022-11-01 11:09:23.000,2,2,1.0,1039.0,3804.0
101,g0r5srmg9us2bch4lq0z,2022-01-11 17:09:42.165,2022-11-01 11:09:42.000,2,2,3.0,2175.0,3850.0
102,g0r5srmg9us2bch4lq0z,2022-01-11 17:09:42.352,2022-11-01 11:09:42.000,2,2,3.0,2175.0,3850.0
103,ojbl7oyg3h52gyuf0r64,2022-01-11 17:09:46.626,2022-11-01 18:09:46.000,1,2,3.0,3164.0,1688.0
104,ojbl7oyg3h52gyuf0r64,2022-01-11 17:09:52.051,2022-11-01 18:09:52.000,1,2,3.0,2897.0,1545.0
105,rw4vjanwlmo422awk874,2022-01-11 17:09:53.662,2022-11-01 18:09:53.000,2,2,3.0,2966.0,1885.0
106,9l3duazds9mawsglu0sc,2022-01-11 17:10:01.080,2022-11-01 19:10:01.000,3,2,3.0,2723.0,2120.0
107,g0r5srmg9us2bch4lq0z,2022-01-11 17:10:01.519,2022-11-01 11:10:01.000,2,2,3.0,3045.0,2543.0
108,g0r5srmg9us2bch4lq0z,2022-01-11 17:10:01.646,2022-11-01 11:10:01.000,2,2,3.0,3045.0,2543.0
109,ojbl7oyg3h52gyuf0r64,2022-01-11 17:10:02.875,2022-11-01 18:10:02.000,1,2,3.0,2709.0,1688.0
110,9l3duazds9mawsglu0sc,2022-01-11 17:10:16.302,2022-11-01 19:10:16.000,3,2,4.0,2939.0,3068.0
111,g0r5srmg9us2bch4lq0z,2022-01-11 17:10:19.338,2022-11-01 11:10:19.000,2,2,3.0,2778.0,197.0
112,9l3duazds9mawsglu0sc,2022-01-11 17:10:31.078,2022-11-01 19:10:31.000,3,2,4.0,3045.0,3817.0
113,ojbl7oyg3h52gyuf0r64,2022-01-11 17:10:34.095,2022-11-01 18:10:34.000,1,2,3.0,3399.0,3330.0
114,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:10:48.791,2022-11-01 18:10:48.000,4,1,1.0,1579.0,815.0
115,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:10:50.072,2022-11-01 18:10:50.000,4,1,1.0,1579.0,815.0
116,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:10:50.359,2022-11-01 18:10:50.000,4,1,1.0,1579.0,815.0
117,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:10:50.525,2022-11-01 18:10:50.000,4,1,1.0,1579.0,815.0
118,rw4vjanwlmo422awk874,2022-01-11 17:10:57.588,2022-11-01 18:10:57.000,2,3,3.0,499.0,0.0
119,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:10:59.395,2022-11-01 18:10:59.000,4,1,3.0,1934.0,1511.0
120,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:11:00.025,2022-11-01 18:11:00.000,4,1,3.0,1934.0,1511.0
121,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:11:18.746,2022-11-01 18:11:18.000,4,1,3.0,2539.0,2548.0
122,ojbl7oyg3h52gyuf0r64,2022-01-11 17:12:08.860,2022-11-01 18:12:08.000,1,3,1.0,576.0,739.0
123,ojbl7oyg3h52gyuf0r64,2022-01-11 17:12:09.074,2022-11-01 18:12:09.000,1,3,1.0,542.0,739.0
124,ojbl7oyg3h52gyuf0r64,2022-01-11 17:12:09.432,2022-11-01 18:12:09.000,1,3,1.0,537.0,782.0
125,ojbl7oyg3h52gyuf0r64,2022-01-11 17:12:09.702,2022-11-01 18:12:09.000,1,3,1.0,499.0,782.0
126,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:12:30.746,2022-11-01 18:12:30.000,4,2,3.0,1352.0,979.0
127,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:12:58.037,2022-11-01 18:12:58.000,4,2,3.0,3192.0,892.0
128,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:13:05.157,2022-11-01 18:13:05.000,4,2,3.0,3794.0,883.0
129,9l3duazds9mawsglu0sc,2022-01-11 17:13:22.813,2022-11-01 19:13:22.000,3,3,4.0,172.0,144.0
130,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:13:28.579,2022-11-01 18:13:28.000,4,2,3.0,2920.0,952.0
131,9l3duazds9mawsglu0sc,2022-01-11 17:13:39.368,2022-11-01 19:13:39.000,3,3,4.0,91.0,292.0
132,9l3duazds9mawsglu0sc,2022-01-11 17:13:56.055,2022-11-01 19:13:56.000,3,3,1.0,460.0,326.0
133,9l3duazds9mawsglu0sc,2022-01-11 17:13:56.464,2022-11-01 19:13:56.000,3,3,1.0,465.0,278.0
134,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:15:07.157,2022-11-01 18:15:07.000,4,3,3.0,465.0,48.0
135,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:15:21.284,2022-11-01 18:15:21.000,4,3,3.0,393.0,196.0
136,y4kcqlzvwi7u8d9rxujs,2022-01-11 17:15:48.281,2022-11-01 18:15:48.000,4,3,3.0,1511.0,1425.0
137,1byafaand8oe3mbb7ttc,2022-01-11 17:29:17.698,2022-11-01 18:29:17.000,2,1,3.0,974.0,1756.0
138,1byafaand8oe3mbb7ttc,2022-01-11 17:29:30.703,2022-11-01 18:29:30.000,2,1,3.0,2227.0,1588.0
139,1byafaand8oe3mbb7ttc,2022-01-11 17:29:42.900,2022-11-01 18:29:42.000,2,1,1.0,3110.0,369.0
140,1byafaand8oe3mbb7ttc,2022-01-11 17:29:45.639,2022-11-01 18:29:45.000,2,1,1.0,2750.0,571.0
141,1byafaand8oe3mbb7ttc,2022-01-11 17:29:45.823,2022-11-01 18:29:45.000,2,1,1.0,2712.0,571.0
142,1byafaand8oe3mbb7ttc,2022-01-11 17:29:51.320,2022-11-01 18:29:51.000,2,1,1.0,1891.0,705.0
143,1byafaand8oe3mbb7ttc,2022-01-11 17:29:51.618,2022-11-01 18:29:51.000,2,1,1.0,1809.0,705.0
144,02xo3fys2fujm3wbq0o6,2022-01-11 17:29:53.977,2022-11-01 10:29:53.000,2,1,1.0,1396.0,2702.0
145,02xo3fys2fujm3wbq0o6,2022-01-11 17:29:56.792,2022-11-01 10:29:56.000,2,1,1.0,1046.0,2870.0
146,02xo3fys2fujm3wbq0o6,2022-01-11 17:29:57.293,2022-11-01 10:29:57.000,2,1,1.0,1046.0,2971.0
147,02xo3fys2fujm3wbq0o6,2022-01-11 17:29:59.572,2022-11-01 10:29:59.000,2,1,1.0,801.0,3144.0
148,1byafaand8oe3mbb7ttc,2022-01-11 17:30:03.295,2022-11-01 18:30:03.000,2,1,1.0,2212.0,2155.0
149,1byafaand8oe3mbb7ttc,2022-01-11 17:30:03.476,2022-11-01 18:30:03.000,2,1,1.0,2212.0,2107.0
150,1byafaand8oe3mbb7ttc,2022-01-11 17:30:03.901,2022-11-01 18:30:03.000,2,1,1.0,2284.0,2063.0
151,1byafaand8oe3mbb7ttc,2022-01-11 17:30:06.238,2022-11-01 18:30:06.000,2,1,1.0,2606.0,1977.0
152,1byafaand8oe3mbb7ttc,2022-01-11 17:30:06.463,2022-11-01 18:30:06.000,2,1,1.0,2664.0,1977.0
153,1byafaand8oe3mbb7ttc,2022-01-11 17:30:06.671,2022-11-01 18:30:06.000,2,1,1.0,2721.0,1977.0
154,02xo3fys2fujm3wbq0o6,2022-01-11 17:30:06.517,2022-11-01 10:30:06.000,2,1,1.0,1151.0,3710.0
155,1byafaand8oe3mbb7ttc,2022-01-11 17:30:09.039,2022-11-01 18:30:09.000,2,1,1.0,3129.0,2116.0
156,1byafaand8oe3mbb7ttc,2022-01-11 17:30:09.335,2022-11-01 18:30:09.000,2,1,1.0,3129.0,2035.0
157,1byafaand8oe3mbb7ttc,2022-01-11 17:30:11.888,2022-11-01 18:30:11.000,2,1,1.0,3624.0,1919.0
158,02xo3fys2fujm3wbq0o6,2022-01-11 17:30:10.779,2022-11-01 10:30:10.000,2,1,1.0,1612.0,3350.0
159,1byafaand8oe3mbb7ttc,2022-01-11 17:30:12.279,2022-11-01 18:30:12.000,2,1,1.0,3638.0,1867.0
160,1byafaand8oe3mbb7ttc,2022-01-11 17:30:12.447,2022-11-01 18:30:12.000,2,1,1.0,3638.0,1823.0
161,02xo3fys2fujm3wbq0o6,2022-01-11 17:30:11.014,2022-11-01 10:30:11.000,2,1,1.0,1612.0,3307.0
162,1byafaand8oe3mbb7ttc,2022-01-11 17:30:12.640,2022-11-01 18:30:12.000,2,1,1.0,3590.0,1819.0
163,1byafaand8oe3mbb7ttc,2022-01-11 17:30:12.823,2022-11-01 18:30:12.000,2,1,1.0,3542.0,1819.0
164,1byafaand8oe3mbb7ttc,2022-01-11 17:30:13.068,2022-11-01 18:30:13.000,2,1,1.0,3537.0,1756.0
165,bi8cxhvcegg1u674okks,2022-01-11 17:30:13.963,2022-11-01 19:30:13.000,4,1,3.0,3355.0,571.0
166,1byafaand8oe3mbb7ttc,2022-01-11 17:30:16.480,2022-11-01 18:30:16.000,2,1,1.0,3844.0,1838.0
167,1byafaand8oe3mbb7ttc,2022-01-11 17:30:17.008,2022-11-01 18:30:17.000,2,1,1.0,3782.0,1919.0
168,02xo3fys2fujm3wbq0o6,2022-01-11 17:30:15.709,2022-11-01 10:30:15.000,2,1,1.0,2188.0,3657.0
169,02xo3fys2fujm3wbq0o6,2022-01-11 17:30:15.876,2022-11-01 10:30:15.000,2,1,1.0,2222.0,3657.0
170,02xo3fys2fujm3wbq0o6,2022-01-11 17:30:21.259,2022-11-01 10:30:21.000,2,1,1.0,2860.0,3240.0
